Run,AvgReward,AvgQval
1,0.379579929,32.11184124
2,1.265725805,65.58015149
3,1.200957591,63.63391037
4,1.041793085,67.56529595
5,1.302542771,65.42720106
6,0.344752512,41.70224288
7,0.957299328,51.28055621
8,0.591786858,52.83416373
9,0.46915229,60.60804363
10,1.626088928,80.38400666
11,1.566033561,74.55075676
12,0.814371641,4.835289837
13,0.46560848,4.294337642
14,1.143412231,7.277142113
15,1.09635866,6.723076584
16,1.0406109,7.017005707
17,1.084014647,4.967743563
18,1.178865953,5.358426241
