Run,Simulation_Size,Learning_Rate,Discount_Factor,Decay,Minimum
1,10000,0.0001,0.95,0.995,0.01
2,20000,0.0001,0.95,0.9999,0.01
3,25000,0.0001,0.95,0.9999,0.01
4,40000,0.0001,0.95,0.9999,0.01
5,25000,0.0001,0.95,0.9999,0.01
6,25000,0.0001,0.95,0.995,0.01
7,20000,0.0001,0.95,0.99955,0.01
8,10000,0.0001,0.95,0.995,0.01
9,20000,0.0001,0.95,0.9995,0.01
10,20000,0.0001,0.95,0.9995,0.3
11,20000,0.0001,0.95,0.9995,0.3
12,15000,0.0001,0.5,0.9995,0.1
13,20000,0.0001,0.5,0.9995,0.1
14,20000,0.0001,0.5,0.9995,0.3
15,20000,0.0001,0.5,0.9995,0.3
16,20000,0.0001,0.5,0.9995,0.3
17,20000,0.0001,0.3,0.9995,0.3
18,20000,0.0001,0.3,0.9995,0.3
