Run,win_rate_overall,AAP_winrate,ACP_winrate,DAP_winrate,DCP_winrate,RP_winrate,R28P_winrate,SR28P_winrate
1,0.0135,0.001396648,0.000727802,0.00137836,0.002112676,0.071908602,0.012738854,0.00140647
2,0.06635,0.025879917,0.01775766,0.022346369,0.02062216,0.318968562,0.053352559,0.009310345
3,0.06104,0.02136515,0.015767635,0.018070614,0.017821782,0.288636364,0.059236384,0.010372862
4,0.041675,0.014408233,0.011412762,0.015012363,0.010347247,0.19992904,0.03616796,0.007170339
5,0.05756,0.025351336,0.01912947,0.016155989,0.014586255,0.277905639,0.047685835,0.00896861
6,0.016615217,0.003522254,0.004421984,0.005080978,0.00485594,0.072210066,0.020912548,0.004132231
7,0.03515,0.007425743,0.007342657,0.007594063,0.00910683,0.178459394,0.028739612,0.006421691
8,0.0264,0.004968062,0.01159618,0.006877579,0.005843682,0.128761372,0.021993127,0.004231312
9,0.0372,0.011514306,0.011768902,0.009213324,0.013537585,0.166259169,0.037826685,0.009556314
10,0.05645,0.012671595,0.016410988,0.012982456,0.018332757,0.268616117,0.048882682,0.009608541
11,0.0571,0.021989529,0.021253602,0.01340388,0.012797725,0.267615411,0.052072628,0.007901065
12,0.054333333,0.016324627,0.017066421,0.03,0.026143791,0.202386416,0.058495822,0.026975864
13,0.05245,0.021809081,0.021358543,0.01986755,0.039391845,0.187108014,0.054462403,0.022315202
14,0.052,0.017009213,0.013143872,0.015253636,0.016773733,0.24245507,0.042886317,0.008406305
15,0.05955,0.019907572,0.014634146,0.016404887,0.015214385,0.276699029,0.056219255,0.015547703
16,0.05205,0.017774618,0.012923507,0.015734266,0.015553199,0.237382527,0.052325581,0.010570825
17,0.05815,0.024965326,0.019529837,0.023362832,0.015641293,0.251731302,0.055555556,0.014310051
18,0.0497,0.020076151,0.014119308,0.019877123,0.013776051,0.22371596,0.04137931,0.011462313
