rank,feature,permuted_winrate,drop_pct
1,column_completed_this_turn,0.01,4.5
2,temp_marker_col_7,0.015,4
3,opp_progress_col_7,0.025,3
4,my_completed_count,0.025,3
5,opp_progress_col_5,0.03,2.5
6,completed_col_9,0.03,2.5
7,opp_completed_count,0.03,2.5
8,temp_marker_col_8,0.035,2
9,completed_col_2,0.035,2
10,completed_col_11,0.035,2
11,opp_progress_col_8,0.04,1.5
12,temp_marker_col_10,0.04,1.5
13,completed_col_4,0.04,1.5
14,completed_col_5,0.04,1.5
15,num_temp_markers,0.04,1.5
16,my_progress_col_12,0.045,1
17,completed_col_10,0.045,1
18,completed_col_12,0.045,1
19,success_probability,0.045,1
20,opp_progress_col_10,0.05,0.5
21,temp_marker_col_5,0.05,0.5
22,my_progress_col_4,0.055,0
23,opp_progress_col_11,0.055,0
24,rolls_this_turn,0.055,0
25,opp_progress_col_4,0.06,-0.5
26,completed_col_6,0.06,-0.5
27,temp_marker_col_3,0.065,-1
28,temp_marker_col_4,0.065,-1
29,completed_col_7,0.065,-1
30,completed_col_8,0.065,-1
31,my_progress_col_2,0.07,-1.5
32,my_progress_col_3,0.07,-1.5
33,my_progress_col_7,0.07,-1.5
34,my_progress_col_8,0.07,-1.5
35,my_progress_col_10,0.07,-1.5
36,opp_progress_col_3,0.07,-1.5
37,opp_progress_col_12,0.07,-1.5
38,temp_marker_col_2,0.07,-1.5
39,temp_marker_col_9,0.07,-1.5
40,temp_marker_col_11,0.07,-1.5
41,temp_marker_col_12,0.07,-1.5
42,completed_col_3,0.07,-1.5
43,my_progress_col_6,0.075,-2
44,my_progress_col_11,0.075,-2
45,opp_progress_col_2,0.08,-2.5
46,opp_progress_col_9,0.085,-3
47,my_progress_col_5,0.09,-3.5
48,opp_progress_col_6,0.09,-3.5
49,temp_marker_col_6,0.09,-3.5
50,ro28_points,0.105,-5
51,my_progress_col_9,0.11,-5.5
